x,y,z
1532334259.04,4096695.362946869718084716598882,-4503211.680831909877011232945631,7281313.268556228811776841645327
1532334264.04,4088687.676590117929096968013470,-4512969.117409396636240110197962,7277079.538178331895187704048396
1532334269.04,4080625.750517397913241105907072,-4522668.660633512041423753521572,7272760.932582015301253505131726
1532334274.04,4072509.687409399508470181298010,-4532310.123064246881960589177059,7268357.444109039611868762765060
1532334279.04,4064339.589336454519883323321477,-4541893.316181569727851441881430,7263869.063482357894010612089874
1532334284.04,4056115.557763630238634166092997,-4551418.050372501217205841321625,7259295.779804496873788099190832
1532334289.04,4047837.693555694926524373442788,-4560884.134917985614686810065233,7254637.580555733044537176510906
1532334294.04,4039506.096982089457844265533722,-4570291.377979730642413678399820,7249894.451592133843639595616480
1532334299.04,4031120.867721822068179362559876,-4579639.586586775697470215893901,7245066.377143366200530473030461
1532334304.04,4022682.104868320774498300259453,-4588928.566621979689287835817650,7240153.339810426009686490948454
1532334309.04,4014189.906934244900347449707429,-4598158.122808336419477734810424,7235155.320563111916198725999982
